,Year,Month,Price($) per Dozen (All Types),Price per Dozen (Table),Year,Month,State,State Identifier,Egg Type,Production in Dozens
0,2016,JAN,1.18,0.969,2016,JAN,ALABAMA,1,"EGGS, HATCHING - PRODUCTION, MEASURED IN DOZEN",11641700
1,2016,JAN,1.18,0.969,2016,JAN,ALABAMA,1,"EGGS, TABLE - PRODUCTION, MEASURED IN DOZEN",3383400
2,2016,JAN,1.18,0.969,2016,JAN,ARKANSAS,5,"EGGS, HATCHING - PRODUCTION, MEASURED IN DOZEN",15716700
3,2016,JAN,1.18,0.969,2016,JAN,ARKANSAS,5,"EGGS, TABLE - PRODUCTION, MEASURED IN DOZEN",8850000
4,2016,JAN,1.18,0.969,2016,JAN,FLORIDA,12,"EGGS, HATCHING - PRODUCTION, MEASURED IN DOZEN",291700
5,2016,JAN,1.18,0.969,2016,JAN,FLORIDA,12,"EGGS, TABLE - PRODUCTION, MEASURED IN DOZEN",17100000
6,2016,JAN,1.18,0.969,2016,JAN,GEORGIA,13,"EGGS, HATCHING - PRODUCTION, MEASURED IN DOZEN",17008300
7,2016,JAN,1.18,0.969,2016,JAN,GEORGIA,13,"EGGS, TABLE - PRODUCTION, MEASURED IN DOZEN",21216700
8,2016,JAN,1.18,0.969,2016,JAN,ILLINOIS,17,"EGGS, HATCHING - PRODUCTION, MEASURED IN DOZEN",375000
9,2016,JAN,1.18,0.969,2016,JAN,ILLINOIS,17,"EGGS, TABLE - PRODUCTION, MEASURED IN DOZEN",10083400
10,2016,JAN,1.18,0.969,2016,JAN,INDIANA,18,"EGGS, HATCHING - PRODUCTION, MEASURED IN DOZEN",1466700
11,2016,JAN,1.18,0.969,2016,JAN,INDIANA,18,"EGGS, TABLE - PRODUCTION, MEASURED IN DOZEN",59758300
12,2016,JAN,1.18,0.969,2016,JAN,IOWA,19,"EGGS, HATCHING - PRODUCTION, MEASURED IN DOZEN",1483300
13,2016,JAN,1.18,0.969,2016,JAN,IOWA,19,"EGGS, TABLE - PRODUCTION, MEASURED IN DOZEN",74000000
